edustusto;;substantiivi;1
ego;;substantiivi;1
eldorado;;substantiivi;1
elimistö;;substantiivi;1
eliöstö;;substantiivi;1
elo;;substantiivi;1
elostelu;;substantiivi;1
eläimistö;;substantiivi;1
embargo;;substantiivi;1
emo;;substantiivi;1
emu;;substantiivi;1
Emu;;substantiivi;1
enemmistö;;substantiivi;1
eno;1;substantiivi;1
eno;2;substantiivi;1
epo;;substantiivi;1
epäkesko;;substantiivi;1
ero;;substantiivi;1
esineistö;;substantiivi;1
esperanto;;substantiivi;1
essu;;substantiivi;1
esto;;substantiivi;1
etkot;;substantiivi;1
euro;;substantiivi;1
fado;;substantiivi;1
fisu;;substantiivi;1
flamenco;;substantiivi;1
flamingo;;substantiivi;1
formu;;substantiivi;1
foto;;substantiivi;1
fransu;;substantiivi;1
fresko;;substantiivi;1
fritsu;;substantiivi;1
fudut;;substantiivi;1
fusku;;substantiivi;1
gabro;;substantiivi;1
gaucho;;substantiivi;1
gesso;;substantiivi;1
gradu;;substantiivi;1
guano;;substantiivi;1
gumbo;;substantiivi;1
guru;;substantiivi;1
haamu;;substantiivi;1
haasto;;substantiivi;1
hahlo;;substantiivi;1
hahmo;;substantiivi;1
haiku;2;substantiivi;1
haisu;;substantiivi;1
haju;;substantiivi;1
hakemisto;;substantiivi;1
halo;;substantiivi;1
halu;;substantiivi;1
hampaisto;;substantiivi;1
handu;;substantiivi;1
hapro;;substantiivi;1
hapsu;;substantiivi;1
harju;;substantiivi;1
harso;;substantiivi;1
harsu;;substantiivi;1
havu;;substantiivi;1
heavy;;substantiivi;1
hedelmistö;;substantiivi;1
heebo;;substantiivi;1
hehku;;substantiivi;1
heimo;;substantiivi;1
helo;;substantiivi;1
hely;;substantiivi;1
hemmo;;substantiivi;1
henkilöstö;;substantiivi;1
henry;;substantiivi;1
hepo;2;substantiivi;1
hermo;;substantiivi;1
hetu;;substantiivi;1
hieho;;substantiivi;1
hiesu;;substantiivi;1
hillo;;substantiivi;1
hilut;;substantiivi;1
himo;;substantiivi;1
hindu;;substantiivi;1
hirmu;;substantiivi;1
hobby;;substantiivi;1
hoitsu;;substantiivi;1
homo;;substantiivi;1
homssu;;substantiivi;1
horo;;substantiivi;1
housut;;substantiivi;1
huhu;;substantiivi;1
huilu;;substantiivi;1
huisku;;substantiivi;1
humalisto;;substantiivi;1
humu;;substantiivi;1
hutsu;;substantiivi;1
hutu;;substantiivi;1
huuru;;substantiivi;1
hylly;;substantiivi;1
hyllystö;;substantiivi;1
hylsy;1;substantiivi;1
hylsy;2;substantiivi;1
hymy;;substantiivi;1
hyrsky;;substantiivi;1
häjy;;substantiivi;1
häly;;substantiivi;1
hämy;;substantiivi;1
härö;1;substantiivi;1
hätähousu;;substantiivi;1
hölö;;substantiivi;1
hömpsy;;substantiivi;1
höntsy;;substantiivi;1
höpönassu;;substantiivi;1
hörhö;;substantiivi;1
hörtsö;;substantiivi;1
höyhenistö;;substantiivi;1
höyry;;substantiivi;1
höystö;;substantiivi;1
iglu;;substantiivi;1
iho;;substantiivi;1
ilo;;substantiivi;1
impro;;substantiivi;1
impromptu;;substantiivi;1
imu;;substantiivi;1
info;;substantiivi;1
inho;;substantiivi;1
intermezzo;;substantiivi;1
intro;;substantiivi;1
irtaimisto;;substantiivi;1
isku;;substantiivi;1
iso;2;substantiivi;1
istuskelu;;substantiivi;1
isännistö;;substantiivi;1
italiaano;;substantiivi;1
itku;;substantiivi;1
jakso;;substantiivi;1
jalapeno;;substantiivi;1
jalopeno;;substantiivi;1
jannu;;substantiivi;1
jano;;substantiivi;1
jarru;;substantiivi;1
jatko;;substantiivi;1
jauho;;substantiivi;1
jehu;;substantiivi;1
jermu;;substantiivi;1
jiujitsu;;substantiivi;1
johtajisto;;substantiivi;1
joisto;;substantiivi;1
jojo;;substantiivi;1
jono;;substantiivi;1
joro;;substantiivi;1
jortsut;;substantiivi;1
joulu;;substantiivi;1
jousto;;substantiivi;1
judo;;substantiivi;1
juju;;substantiivi;1
jujutsu;;substantiivi;1
jumbo;;substantiivi;1
junnu;;substantiivi;1
juoksu;;substantiivi;1
juomu;;substantiivi;1
juoru;;substantiivi;1
jury;;substantiivi;1
jutku;;substantiivi;1
jutsku;;substantiivi;1
juusto;;substantiivi;1
jyly;;substantiivi;1
jymy;;substantiivi;1
jyystö;;substantiivi;1
jäkälistö;;substantiivi;1
jänishousu;;substantiivi;1
jänö;;substantiivi;1
jäsenistö;;substantiivi;1
jäähy;;substantiivi;1
kaaso;;substantiivi;1
kaasu;;substantiivi;1
kahvinporo;;substantiivi;1
kaiho;;substantiivi;1
kaivo;;substantiivi;1
kaivu;;substantiivi;1
kajo;;substantiivi;1
kakru;;substantiivi;1
kalhu;;substantiivi;1
kallo;;substantiivi;1
kalmo;;substantiivi;1
kalu;;substantiivi;1
kalusto;;substantiivi;1
kalvo;;substantiivi;1
kammo;;substantiivi;1
kampsut;;substantiivi;1
kamu;;substantiivi;1
kanavisto;;substantiivi;1
kanervisto;;substantiivi;1
kannu;;substantiivi;1
karatepotku;;substantiivi;1
karho;;substantiivi;1
karhu;;substantiivi;1
karibu;;substantiivi;1
karju;;substantiivi;1
karkaisimo;;substantiivi;1
kasko;;substantiivi;1
kasku;;substantiivi;1
kasvo;;substantiivi;1
kasvot;;substantiivi;1
kasvu;;substantiivi;1
katko;1;substantiivi;1
katko;2;substantiivi;1
katku;;substantiivi;1
kauhu;;substantiivi;1
kauno;;substantiivi;1
kautsu;;substantiivi;1
keho;;substantiivi;1
kehu;;substantiivi;1
keiju;;substantiivi;1
keino;;substantiivi;1
keinu;;substantiivi;1
keiso;;substantiivi;1
kello;;substantiivi;1
kelmu;;substantiivi;1
kelo;;substantiivi;1
kemut;;substantiivi;1
kendo;;substantiivi;1
kenno;;substantiivi;1
kenraalisto;;substantiivi;1
kerho;;substantiivi;1
kero;;substantiivi;1
kessu;1;substantiivi;1
kessu;2;substantiivi;1
kesto;;substantiivi;1
ketju;;substantiivi;1
keuhko;;substantiivi;1
kielo;;substantiivi;1
kiho;;substantiivi;1
kihu;;substantiivi;1
kiihko;;substantiivi;1
kiilu;;substantiivi;1
kiisu;;substantiivi;1
kilju;;substantiivi;1
kilo;1;substantiivi;1
kilo;2;substantiivi;1
kilu;;substantiivi;1
kimo;;substantiivi;1
kimpsut;;substantiivi;1
kino;;substantiivi;1
kirjaimisto;;substantiivi;1
kirjo;;substantiivi;1
kirnu;;substantiivi;1
kiro;;substantiivi;1
kirstu;;substantiivi;1
kirsu;;substantiivi;1
kisko;;substantiivi;1
kisu;;substantiivi;1
kitku;;substantiivi;1
kiulu;;substantiivi;1
kiuru;;substantiivi;1
koho;;substantiivi;1
kohu;;substantiivi;1
koiso;;substantiivi;1
koivu;;substantiivi;1
kojeisto;;substantiivi;1
koju;;substantiivi;1
koksittamo;;substantiivi;1
kolhu;;substantiivi;1
kolo;;substantiivi;1
kombo;;substantiivi;1
koosto;;substantiivi;1
kopsu;1;substantiivi;1
kopsu;2;substantiivi;1
korohoro;;substantiivi;1
korsto;;substantiivi;1
korsu;;substantiivi;1
kortsu;;substantiivi;1
koru;;substantiivi;1
korvo;;substantiivi;1
koskettimisto;;substantiivi;1
kosto;;substantiivi;1
koto;2;substantiivi;1
koulu;;substantiivi;1
kouru;;substantiivi;1
kromosomisto;;substantiivi;1
kruunu;;substantiivi;1
krypto;;substantiivi;1
kuhmu;;substantiivi;1
kuidusto;;substantiivi;1
kuilu;;substantiivi;1
kulho;;substantiivi;1
kulju;;substantiivi;1
kulmapotku;;substantiivi;1
kulo;;substantiivi;1
kulu;;substantiivi;1
kumu;1;substantiivi;1
kumu;2;substantiivi;1
kuohu;;substantiivi;1
kuolo;;substantiivi;1
kuomu;;substantiivi;1
kuono;;substantiivi;1
kuormasto;;substantiivi;1
kuoro;;substantiivi;1
kupro;;substantiivi;1
kupru;;substantiivi;1
kurho;;substantiivi;1
kurjalisto;;substantiivi;1
kurko;;substantiivi;1
kuru;;substantiivi;1
kutsu;;substantiivi;1
kuulo;;substantiivi;1
kuuro;2;substantiivi;1
kyhmy;;substantiivi;1
kyhäily;;substantiivi;1
kylvö;;substantiivi;1
kyly;;substantiivi;1
kytky;;substantiivi;1
kyyhky;;substantiivi;1
käly;;substantiivi;1
känny;;substantiivi;1
kärhö;;substantiivi;1
kärkipotku;;substantiivi;1
kärry;;substantiivi;1
käry;;substantiivi;1
käsitteistö;;substantiivi;1
käsky;;substantiivi;1
kätkö;;substantiivi;1
käyrästö;;substantiivi;1
käyttäjistö;;substantiivi;1
käyttökatko;;substantiivi;1
käärö;;substantiivi;1
köyhälistö;;substantiivi;1
laakso;;substantiivi;1
laatikosto;;substantiivi;1
laavu;;substantiivi;1
lady;;substantiivi;1
lahko;;substantiivi;1
laiho;;substantiivi;1
laisto;;substantiivi;1
laitteisto;;substantiivi;1
lajisto;;substantiivi;1
laku;;substantiivi;1
lasisto;;substantiivi;1
laskettelumono;;substantiivi;1
lasko;;substantiivi;1
lasku;;substantiivi;1
lasso;;substantiivi;1
lastu;;substantiivi;1
laulajisto;;substantiivi;1
laulu;;substantiivi;1
lehdistö;;substantiivi;1
leimu;;substantiivi;1
leivo;;substantiivi;1
lelu;;substantiivi;1
lemu;;substantiivi;1
lentsu;;substantiivi;1
lepistö;;substantiivi;1
lesbo;;substantiivi;1
letku;;substantiivi;1
levy;;substantiivi;1
libido;;substantiivi;1
lieju;;substantiivi;1
liero;;substantiivi;1
liesu;1;substantiivi;1
liesu;2;substantiivi;1
lietso;;substantiivi;1
lietsu;;substantiivi;1
lihaksisto;;substantiivi;1
liikakilo;;substantiivi;1
limu;;substantiivi;1
lino;;substantiivi;1
linssistö;;substantiivi;1
liro;;substantiivi;1
liru;;substantiivi;1
lirunlaru;;substantiivi;1
